sloettotoldenhofensingraven
gruys
coeverdentotstoevelaar
hogers
gansnebgenaamdtengnagel
vrijberghe
steyn
glinstra
middachten
junius
kaldenbach
strick
velsen
fagel
baerdt
oertotbuckhorst
graef
egmondvandenijenburg
horenken
pallandttotoosterveen
appeldoorn
beuningen
geldorp
merens
pompe
duvelaer
hoeclum
vierssen
manninga
gockinga
rengers
essen
gemmenich
oemvanwijngaarden
leeuw
emmius
adam
sighers
schade
alberda
colterman
reygersberge
braeckeltotkermestein
heemstra
groot
sirtemavangrovestins
tuyllvanserooskerken
meer
stavenisse
weede
drews
sickinghe
swanenburgh
santen
aylva
vijgh
westerhem
resen
coster
tengbergen
nijeveen
heringa
huningavanoostwold
benthem
wijnbergen
boetzelaer
schriek
sloet
ackema
swartte
gerlacius
goeree
boelens
eeck
scherff
schimmelpenninckvanderoye
tjardavanstarkenborgh
tijmens
brienentotmussenberch
kan
bijetotwaijestein
witsen
humalda
potter
huijghenstotclarenbeeck
aldringa
bootsma
borch
mepsche
onderwater
ripperda
julsingha
heeckeren
crommon
guldewagen
royer
boeijer
alting
ewsum
schrasser
in-enkniphuisen
witt
leweterhansouwe
rodenburch
pieterson
meerman
radbodus
kien
roeth
krull
ripperdavanfarmsum
lawick
husstotrees
cant
tamelinck
aebingavanhumalda
tamminga
pauw
rechterentotalmelo
gruysvanlellens
dussen
dam
ruijsch
hecke
reede
duystvanvoorhout
zeli
ludolphi
thilo
